fips,county,state
41001,Baker,OR
41003,Benton,OR
41005,Clackamas,OR
41007,Clatsop,OR
41009,Columbia,OR
41011,Coos,OR
41013,Crook,OR
41015,Curry,OR
41017,Deschutes,OR
41019,Douglas,OR
41021,Gilliam,OR
41023,Grant,OR
41025,Harney,OR
41027,Hood River,OR
41029,Jackson,OR
41031,Jefferson,OR
41033,Josephine,OR
41035,Klamath,OR
41037,Lake,OR
41039,Lane,OR
41041,Lincoln,OR
41043,Linn,OR
41045,Malheur,OR
41047,Marion,OR
41049,Morrow,OR
41051,Multnomah,OR
41053,Polk,OR
41055,Sherman,OR
41057,Tillamook,OR
41059,Umatilla,OR
41061,Union,OR
41063,Wallowa,OR
41065,Wasco,OR
41067,Washington,OR
41069,Wheeler,OR
41071,Yamhill,OR
53001,Adams,WA
53003,Asotin,WA
53005,Benton,WA
53007,Chelan,WA
53009,Clallam,WA
53011,Clark,WA
53013,Columbia,WA
53015,Cowlitz,WA
53017,Douglas,WA
53019,Ferry,WA
53021,Franklin,WA
53023,Garfield,WA
53025,Grant,WA
53027,Grays Harbor,WA
53029,Island,WA
53031,Jefferson,WA
53033,King,WA
53035,Kitsap,WA
53037,Kittitas,WA
53039,Klickitat,WA
53041,Lewis,WA
53043,Lincoln,WA
53045,Mason,WA
53047,Okanogan,WA
53049,Pacific,WA
53051,Pend Oreille,WA
53053,Pierce,WA
53055,San Juan,WA
53057,Skagit,WA
53059,Skamania,WA
53061,Snohomish,WA
53063,Spokane,WA
53065,Stevens,WA
53067,Thurston,WA
53069,Wahkiakum,WA
53071,Walla Walla,WA
53073,Whatcom,WA
53075,Whitman,WA
53077,Yakima,WA
